Number_of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride,d_s_ratio,demand_class,supply_class,Demand_Prediction
54,28,Suburban,Silver,83,4.49,Night,Economy,32,80.26246462,1.93,low_demand,low_supply,0
67,6,Rural,Gold,15,3.53,Night,Economy,123,420.6239113,11.17,low_demand,low_supply,0
23,8,Urban,Silver,27,4.73,Afternoon,Economy,117,520.8926706,2.88,low_demand,low_supply,0
70,14,Urban,Silver,16,4.3,Morning,Economy,53,183.075791,5.0,low_demand,low_supply,0
20,10,Rural,Silver,70,4.92,Evening,Economy,65,190.1374636,2.0,low_demand,low_supply,0
95,84,Suburban,Gold,18,3.86,Afternoon,Premium,112,522.3021029,1.13,high_demand,high_supply,1
43,16,Urban,Silver,40,4.89,Night,Premium,106,410.6863449,2.69,low_demand,low_supply,0
97,55,Suburban,Silver,94,4.62,Evening,Premium,150,584.9958711,1.76,high_demand,high_supply,1
32,20,Rural,Silver,44,3.55,Night,Economy,68,301.6226264,1.6,low_demand,low_supply,0
95,25,Suburban,Regular,72,4.16,Morning,Premium,128,413.587084,3.8,high_demand,low_supply,1
47,15,Urban,Gold,14,4.84,Night,Economy,89,273.1181046,3.13,low_demand,low_supply,0
25,11,Rural,Silver,33,3.85,Night,Economy,94,247.1745627,2.27,low_demand,low_supply,0
37,22,Rural,Regular,76,4.72,Afternoon,Economy,69,213.4432508,1.68,low_demand,low_supply,0
59,39,Suburban,Gold,49,3.78,Morning,Premium,98,295.7943802,1.51,low_demand,high_supply,0
42,20,Urban,Silver,88,4.64,Night,Premium,29,145.0698092,2.1,low_demand,low_supply,0
53,11,Rural,Regular,2,3.5,Afternoon,Premium,81,297.0186264,4.82,low_demand,low_supply,0
79,64,Rural,Regular,91,4.57,Night,Economy,164,666.6870291,1.23,low_demand,high_supply,0
59,23,Urban,Gold,41,4.97,Evening,Premium,91,449.5456339,2.57,low_demand,low_supply,0
40,29,Urban,Regular,72,4.3,Afternoon,Economy,147,624.98601,1.38,low_demand,low_supply,0
76,40,Suburban,Silver,77,4.17,Morning,Economy,28,96.03520852,1.9,low_demand,high_supply,0
41,26,Urban,Regular,96,3.91,Night,Economy,169,637.7593916,1.58,low_demand,low_supply,0
83,14,Urban,Regular,80,4.77,Night,Premium,64,295.588711,5.93,high_demand,low_supply,1
44,17,Rural,Regular,15,4.0,Evening,Economy,98,353.3385451,2.59,low_demand,low_supply,0
91,73,Urban,Gold,61,4.39,Night,Economy,15,62.25429042,1.25,high_demand,high_supply,1
54,16,Suburban,Regular,8,4.5,Afternoon,Premium,67,266.0685899,3.38,low_demand,low_supply,0
59,37,Rural,Silver,86,4.67,Night,Premium,95,340.1282671,1.59,low_demand,low_supply,0
72,43,Suburban,Gold,28,4.87,Afternoon,Economy,132,443.2581554,1.67,low_demand,high_supply,0
47,9,Rural,Gold,49,4.44,Evening,Economy,96,265.0552744,5.22,low_demand,low_supply,0
32,22,Rural,Silver,49,4.65,Night,Economy,60,221.4343855,1.45,low_demand,low_supply,0
45,13,Rural,Regular,96,4.84,Night,Economy,112,393.2308288,3.46,low_demand,low_supply,0
72,45,Urban,Silver,82,4.42,Night,Premium,40,151.5804041,1.6,low_demand,high_supply,0
56,15,Urban,Gold,34,4.72,Night,Premium,78,313.9950046,3.73,low_demand,low_supply,0
42,22,Rural,Silver,67,3.81,Afternoon,Premium,82,366.1515261,1.91,low_demand,low_supply,0
52,14,Suburban,Silver,87,3.54,Afternoon,Premium,98,425.9735688,3.71,low_demand,low_supply,0
81,23,Urban,Gold,39,4.3,Evening,Economy,143,359.053128,3.52,low_demand,low_supply,0
77,25,Rural,Regular,70,4.27,Afternoon,Premium,52,260.3441798,3.08,low_demand,low_supply,0
27,6,Urban,Gold,2,4.42,Night,Economy,86,320.3017092,4.5,low_demand,low_supply,0
74,34,Rural,Regular,18,4.66,Morning,Premium,140,454.4921215,2.18,low_demand,low_supply,0
92,69,Urban,Silver,88,4.69,Afternoon,Economy,18,45.1150237,1.33,high_demand,high_supply,1
77,34,Rural,Gold,33,4.13,Night,Premium,48,223.6621143,2.26,low_demand,low_supply,0
66,6,Rural,Regular,23,4.2,Evening,Economy,45,173.1577543,11.0,low_demand,low_supply,0
77,39,Urban,Regular,23,4.29,Morning,Economy,167,592.2404996,1.97,low_demand,high_supply,0
35,16,Urban,Regular,31,4.75,Afternoon,Premium,113,379.3078104,2.19,low_demand,low_supply,0
48,38,Rural,Gold,40,3.7,Evening,Premium,80,360.7111703,1.26,low_demand,low_supply,0
61,18,Rural,Gold,84,3.93,Evening,Premium,58,203.4926184,3.39,low_demand,low_supply,0
71,21,Suburban,Silver,82,4.88,Afternoon,Premium,126,553.5451308,3.38,low_demand,low_supply,0
95,7,Rural,Gold,40,4.68,Evening,Economy,95,283.4664425,13.57,high_demand,low_supply,1
76,44,Suburban,Gold,20,3.56,Afternoon,Premium,105,435.1453451,1.73,low_demand,high_supply,0
32,13,Suburban,Regular,21,4.64,Afternoon,Economy,156,685.7681265,2.46,low_demand,low_supply,0
49,30,Rural,Silver,57,4.83,Evening,Economy,154,630.8608869,1.63,low_demand,low_supply,0
38,17,Urban,Silver,92,4.41,Afternoon,Premium,138,546.1568748,2.24,low_demand,low_supply,0
92,35,Suburban,Regular,46,4.72,Morning,Economy,45,115.3570025,2.63,high_demand,low_supply,1
40,29,Suburban,Silver,26,4.26,Night,Economy,152,404.0498951,1.38,low_demand,low_supply,0
55,42,Suburban,Silver,24,4.49,Afternoon,Economy,45,156.0383299,1.31,low_demand,high_supply,0
58,34,Rural,Gold,19,4.55,Morning,Premium,131,501.2629551,1.71,low_demand,low_supply,0
34,5,Urban,Regular,26,4.85,Evening,Premium,152,562.4369765,6.8,low_demand,low_supply,0
70,47,Suburban,Silver,3,3.66,Morning,Premium,53,216.8024751,1.49,low_demand,high_supply,0
51,24,Rural,Gold,25,4.68,Afternoon,Premium,16,120.0906902,2.12,low_demand,low_supply,0
88,56,Rural,Regular,11,4.36,Afternoon,Economy,60,221.1576533,1.57,high_demand,high_supply,1
25,8,Suburban,Silver,83,3.53,Evening,Economy,121,492.7012709,3.12,low_demand,low_supply,0
34,19,Rural,Regular,51,4.2,Night,Premium,166,754.23448,1.79,low_demand,low_supply,0
40,15,Urban,Regular,90,3.62,Night,Premium,42,211.5277288,2.67,low_demand,low_supply,0
26,7,Suburban,Gold,58,4.91,Afternoon,Economy,161,460.7592754,3.71,low_demand,low_supply,0
81,42,Suburban,Regular,88,4.14,Afternoon,Economy,47,164.1074735,1.93,low_demand,high_supply,0
80,56,Suburban,Gold,63,4.57,Night,Premium,43,213.696213,1.43,low_demand,high_supply,0
64,19,Rural,Gold,86,4.68,Night,Premium,171,732.9893961,3.37,low_demand,low_supply,0
45,18,Rural,Gold,68,4.07,Morning,Economy,136,350.6012026,2.5,low_demand,low_supply,0
84,49,Urban,Regular,32,4.25,Night,Premium,53,192.8798062,1.71,high_demand,high_supply,1
34,16,Urban,Silver,47,4.12,Evening,Economy,93,294.1158059,2.12,low_demand,low_supply,0
67,32,Suburban,Regular,40,4.47,Afternoon,Premium,13,82.52418775,2.09,low_demand,low_supply,0
93,23,Suburban,Silver,34,4.23,Evening,Premium,125,386.1690694,4.04,high_demand,low_supply,1
100,51,Urban,Silver,56,3.58,Night,Economy,89,310.9003273,1.96,high_demand,high_supply,1
35,22,Suburban,Gold,15,4.23,Morning,Premium,120,373.9628407,1.59,low_demand,low_supply,0
36,13,Rural,Silver,31,4.71,Night,Economy,71,221.5511001,2.77,low_demand,low_supply,0
28,18,Suburban,Regular,100,3.7,Afternoon,Economy,127,531.112701,1.56,low_demand,low_supply,0
21,9,Urban,Gold,10,3.88,Morning,Premium,108,324.9426389,2.33,low_demand,low_supply,0
26,15,Urban,Regular,35,5.0,Morning,Premium,161,493.4068923,1.73,low_demand,low_supply,0
97,21,Suburban,Regular,59,3.87,Evening,Premium,174,778.633356,4.62,high_demand,low_supply,1
26,15,Urban,Silver,10,3.71,Morning,Premium,171,720.1572086,1.73,low_demand,low_supply,0
91,56,Urban,Gold,17,4.66,Night,Economy,10,38.23523524,1.62,high_demand,high_supply,1
65,48,Rural,Silver,12,4.37,Afternoon,Premium,140,573.5891065,1.35,low_demand,high_supply,0
88,28,Urban,Gold,22,4.99,Night,Premium,154,682.016247,3.14,high_demand,low_supply,1
82,13,Suburban,Gold,32,3.58,Night,Economy,148,516.4367273,6.31,high_demand,low_supply,1
65,40,Urban,Silver,48,3.59,Evening,Economy,121,492.5196024,1.62,low_demand,high_supply,0
41,6,Urban,Silver,56,4.32,Night,Economy,11,49.234784,6.83,low_demand,low_supply,0
85,36,Rural,Silver,64,4.32,Evening,Economy,152,506.6928861,2.36,high_demand,low_supply,1
35,13,Rural,Silver,80,3.8,Afternoon,Economy,93,304.3133395,2.69,low_demand,low_supply,0
83,29,Urban,Silver,78,4.42,Afternoon,Premium,23,111.1793412,2.86,high_demand,low_supply,1
91,31,Urban,Regular,12,4.39,Night,Economy,39,163.2145833,2.94,high_demand,low_supply,1
44,28,Rural,Regular,31,4.92,Night,Premium,132,402.8569895,1.57,low_demand,low_supply,0
96,12,Suburban,Gold,15,4.97,Night,Economy,90,289.2351909,8.0,high_demand,low_supply,1
77,46,Suburban,Regular,97,4.2,Afternoon,Premium,25,150.5392948,1.67,low_demand,high_supply,0
91,80,Rural,Gold,74,4.74,Night,Economy,46,194.9355593,1.14,high_demand,high_supply,1
93,42,Rural,Silver,75,4.66,Morning,Economy,160,674.6485036,2.21,high_demand,high_supply,1
41,9,Rural,Silver,73,3.51,Morning,Economy,150,551.557234,4.56,low_demand,low_supply,0
61,44,Suburban,Regular,69,4.54,Afternoon,Economy,52,132.2147646,1.39,low_demand,high_supply,0
83,10,Urban,Gold,28,3.91,Afternoon,Economy,23,70.11182411,8.3,high_demand,low_supply,1
59,22,Rural,Regular,79,4.38,Morning,Premium,93,346.2847096,2.68,low_demand,low_supply,0
42,31,Suburban,Gold,62,4.95,Night,Premium,13,102.0447303,1.35,low_demand,low_supply,0
81,16,Suburban,Regular,73,4.89,Night,Economy,125,494.1401793,5.06,low_demand,low_supply,0
72,19,Rural,Gold,89,4.74,Morning,Premium,45,183.6583147,3.79,low_demand,low_supply,0
43,9,Rural,Silver,2,4.12,Morning,Economy,126,436.5576476,4.78,low_demand,low_supply,0
74,33,Urban,Silver,82,4.13,Afternoon,Economy,10,31.36208132,2.24,low_demand,low_supply,0
68,45,Rural,Silver,65,4.19,Evening,Economy,112,323.4791093,1.51,low_demand,high_supply,0
36,13,Urban,Silver,84,4.88,Evening,Premium,140,505.3840569,2.77,low_demand,low_supply,0
51,5,Urban,Gold,0,4.59,Afternoon,Premium,92,320.8576216,10.2,low_demand,low_supply,0
63,23,Urban,Silver,48,4.09,Evening,Economy,49,214.5660524,2.74,low_demand,low_supply,0
96,29,Urban,Regular,84,3.65,Night,Economy,176,758.5015334,3.31,high_demand,low_supply,1
94,59,Suburban,Regular,84,4.38,Morning,Premium,175,665.7295341,1.59,high_demand,high_supply,1
74,32,Suburban,Regular,2,4.7,Evening,Premium,38,171.0663629,2.31,low_demand,low_supply,0
91,13,Rural,Silver,32,3.6,Morning,Premium,160,647.3526381,7.0,high_demand,low_supply,1
69,12,Suburban,Regular,42,4.34,Afternoon,Premium,158,608.12824,5.75,low_demand,low_supply,0
51,20,Rural,Silver,57,3.68,Night,Economy,67,246.9229249,2.55,low_demand,low_supply,0
45,17,Rural,Gold,10,4.93,Night,Premium,148,430.0665305,2.65,low_demand,low_supply,0
92,34,Suburban,Regular,98,3.99,Night,Economy,140,396.6387527,2.71,high_demand,low_supply,1
69,36,Suburban,Gold,55,4.74,Morning,Economy,109,436.0114486,1.92,low_demand,low_supply,0
56,14,Suburban,Silver,30,3.67,Night,Economy,48,202.9454569,4.0,low_demand,low_supply,0
43,26,Rural,Regular,59,4.91,Afternoon,Economy,175,731.7816872,1.65,low_demand,low_supply,0
86,48,Urban,Silver,37,4.15,Night,Economy,84,216.0505481,1.79,high_demand,high_supply,1
61,34,Urban,Gold,82,3.99,Night,Premium,10,83.8683562,1.79,low_demand,low_supply,0
50,36,Suburban,Gold,18,4.61,Night,Economy,145,572.2420493,1.39,low_demand,low_supply,0
73,34,Urban,Regular,95,4.31,Morning,Premium,21,118.8070474,2.15,low_demand,low_supply,0
76,7,Urban,Gold,76,4.35,Morning,Economy,72,245.8935712,10.86,low_demand,low_supply,0
87,41,Urban,Regular,87,4.36,Night,Economy,87,387.1117403,2.12,high_demand,high_supply,1
53,33,Rural,Regular,40,3.8,Morning,Premium,139,507.9505747,1.61,low_demand,low_supply,0
71,8,Suburban,Silver,57,3.68,Night,Economy,75,249.3029746,8.88,low_demand,low_supply,0
32,5,Rural,Gold,80,3.55,Night,Economy,14,45.91711193,6.4,low_demand,low_supply,0
91,30,Suburban,Gold,34,3.69,Afternoon,Economy,96,424.6120578,3.03,high_demand,low_supply,1
47,37,Suburban,Gold,64,3.75,Morning,Economy,31,85.9735753,1.27,low_demand,low_supply,0
23,13,Rural,Silver,42,4.55,Night,Economy,87,328.9669926,1.77,low_demand,low_supply,0
57,20,Rural,Regular,92,3.74,Morning,Economy,53,172.6294341,2.85,low_demand,low_supply,0
48,17,Suburban,Silver,2,4.09,Evening,Economy,85,261.9435329,2.82,low_demand,low_supply,0
22,5,Urban,Gold,39,4.92,Evening,Economy,56,199.0416803,4.4,low_demand,low_supply,0
60,19,Urban,Silver,37,4.22,Evening,Economy,68,232.2834549,3.16,low_demand,low_supply,0
94,42,Rural,Regular,0,4.23,Morning,Premium,36,185.3118381,2.24,high_demand,high_supply,1
43,6,Suburban,Silver,34,4.4,Morning,Premium,24,153.7614397,7.17,low_demand,low_supply,0
97,18,Suburban,Regular,53,4.25,Night,Premium,26,126.4771353,5.39,high_demand,low_supply,1
47,17,Rural,Silver,7,4.8,Morning,Economy,173,609.5038276,2.76,low_demand,low_supply,0
39,28,Urban,Silver,72,3.76,Afternoon,Premium,87,287.1624376,1.39,low_demand,low_supply,0
50,39,Suburban,Regular,94,3.81,Evening,Premium,139,406.3248065,1.28,low_demand,high_supply,0
35,17,Urban,Regular,78,4.4,Evening,Premium,61,249.0371127,2.06,low_demand,low_supply,0
28,8,Suburban,Regular,69,3.86,Evening,Premium,175,620.9016916,3.5,low_demand,low_supply,0
51,32,Rural,Regular,98,4.44,Morning,Premium,51,267.0607017,1.59,low_demand,low_supply,0
54,12,Suburban,Silver,84,4.98,Evening,Premium,172,715.7547931,4.5,low_demand,low_supply,0
65,10,Urban,Regular,77,4.36,Afternoon,Economy,170,430.3854879,6.5,low_demand,low_supply,0
61,26,Rural,Gold,21,3.85,Morning,Premium,126,604.273047,2.35,low_demand,low_supply,0
46,9,Suburban,Silver,67,4.22,Evening,Premium,47,243.5250632,5.11,low_demand,low_supply,0
73,50,Urban,Regular,7,4.22,Night,Economy,45,176.2144067,1.46,low_demand,high_supply,0
86,49,Urban,Regular,99,3.51,Night,Economy,130,471.4796321,1.76,high_demand,high_supply,1
75,7,Suburban,Gold,100,4.13,Morning,Economy,134,453.3769494,10.71,low_demand,low_supply,0
39,29,Suburban,Silver,12,4.24,Evening,Economy,97,251.1073065,1.34,low_demand,low_supply,0
33,6,Rural,Gold,90,4.81,Night,Premium,139,521.8019208,5.5,low_demand,low_supply,0
40,29,Suburban,Silver,6,4.94,Night,Premium,71,346.4926515,1.38,low_demand,low_supply,0
54,35,Suburban,Silver,66,4.4,Night,Economy,77,234.0714535,1.54,low_demand,low_supply,0
53,26,Urban,Gold,54,4.6,Night,Premium,52,184.0244513,2.04,low_demand,low_supply,0
81,34,Urban,Silver,98,3.55,Afternoon,Premium,164,554.8869659,2.38,low_demand,low_supply,0
45,20,Urban,Regular,80,4.73,Morning,Economy,63,192.6197724,2.25,low_demand,low_supply,0
20,9,Urban,Silver,77,3.91,Evening,Economy,89,227.7965248,2.22,low_demand,low_supply,0
47,22,Rural,Silver,11,4.8,Afternoon,Premium,119,416.601649,2.14,low_demand,low_supply,0
33,18,Urban,Gold,90,3.61,Evening,Premium,146,671.7128294,1.83,low_demand,low_supply,0
78,57,Rural,Silver,5,4.82,Morning,Premium,127,552.6397714,1.37,low_demand,high_supply,0
26,12,Rural,Silver,9,3.75,Afternoon,Economy,115,321.3724051,2.17,low_demand,low_supply,0
62,21,Rural,Regular,61,4.57,Night,Economy,56,215.4338699,2.95,low_demand,low_supply,0
84,59,Suburban,Silver,67,4.27,Morning,Premium,164,758.9961232,1.42,high_demand,high_supply,1
49,8,Urban,Regular,1,4.06,Afternoon,Premium,157,694.4247149,6.12,low_demand,low_supply,0
34,22,Suburban,Gold,34,3.64,Morning,Economy,176,617.3632185,1.55,low_demand,low_supply,0
49,30,Rural,Silver,86,3.62,Afternoon,Premium,69,328.635369,1.63,low_demand,low_supply,0
83,50,Rural,Regular,7,3.66,Evening,Premium,100,376.3000601,1.66,high_demand,high_supply,1
88,5,Urban,Silver,89,3.59,Night,Economy,27,70.20380337,17.6,high_demand,low_supply,1
90,71,Suburban,Gold,88,3.84,Morning,Economy,167,451.684865,1.27,high_demand,high_supply,1
65,5,Rural,Silver,24,3.54,Night,Economy,119,301.4039268,13.0,low_demand,low_supply,0
73,28,Urban,Silver,22,4.57,Afternoon,Economy,53,153.3960711,2.61,low_demand,low_supply,0
85,62,Suburban,Silver,54,3.78,Morning,Economy,114,339.6623042,1.37,high_demand,high_supply,1
65,27,Rural,Gold,62,3.54,Night,Premium,162,733.4425367,2.41,low_demand,low_supply,0
74,42,Urban,Gold,88,3.5,Evening,Economy,77,203.836381,1.76,low_demand,high_supply,0
41,7,Rural,Gold,68,4.3,Evening,Premium,66,284.5088586,5.86,low_demand,low_supply,0
79,23,Urban,Gold,88,3.88,Night,Economy,164,492.1134584,3.43,low_demand,low_supply,0
53,7,Urban,Silver,64,4.55,Night,Premium,10,86.19117981,7.57,low_demand,low_supply,0
35,14,Urban,Silver,74,5.0,Night,Premium,175,727.8809448,2.5,low_demand,low_supply,0
53,40,Rural,Gold,79,3.66,Evening,Premium,30,158.6526416,1.32,low_demand,high_supply,0
36,23,Urban,Silver,42,4.66,Morning,Economy,14,44.52503661,1.57,low_demand,low_supply,0
38,25,Urban,Regular,2,4.24,Morning,Premium,128,452.4258269,1.52,low_demand,low_supply,0
52,36,Rural,Silver,1,4.52,Morning,Premium,36,152.6404792,1.44,low_demand,low_supply,0
91,64,Suburban,Regular,26,4.56,Morning,Premium,96,420.2245689,1.42,high_demand,high_supply,1
87,5,Urban,Silver,59,4.32,Night,Economy,42,151.3593007,17.4,high_demand,low_supply,1
96,20,Suburban,Gold,88,3.6,Evening,Premium,71,242.2719657,4.8,high_demand,low_supply,1
83,59,Urban,Gold,8,4.85,Morning,Economy,31,119.0485544,1.41,high_demand,high_supply,1
48,23,Rural,Gold,0,4.46,Afternoon,Economy,174,472.5695408,2.09,low_demand,low_supply,0
65,19,Suburban,Silver,24,4.59,Evening,Economy,96,334.6493506,3.42,low_demand,low_supply,0
79,29,Suburban,Silver,0,4.86,Morning,Economy,127,406.0855257,2.72,low_demand,low_supply,0
100,22,Suburban,Silver,45,4.23,Night,Premium,141,551.3651376,4.55,high_demand,low_supply,1
73,63,Suburban,Silver,25,4.19,Afternoon,Economy,129,534.0181946,1.16,low_demand,high_supply,0
79,67,Rural,Gold,56,4.01,Evening,Premium,151,501.2363001,1.18,low_demand,high_supply,0
88,55,Rural,Regular,56,4.0,Night,Premium,26,159.6069186,1.6,high_demand,high_supply,1
76,34,Suburban,Silver,10,4.92,Morning,Economy,103,359.801051,2.24,low_demand,low_supply,0
49,30,Suburban,Silver,80,3.74,Night,Economy,85,348.6695625,1.63,low_demand,low_supply,0
100,64,Rural,Regular,7,4.89,Night,Premium,115,490.504076,1.56,high_demand,high_supply,1
87,26,Rural,Gold,63,4.2,Morning,Premium,118,485.6832395,3.35,high_demand,low_supply,1
22,5,Rural,Silver,93,4.85,Evening,Economy,99,424.9275102,4.4,low_demand,low_supply,0
21,11,Rural,Silver,23,3.76,Afternoon,Economy,12,40.44289065,1.91,low_demand,low_supply,0
93,57,Suburban,Regular,34,4.89,Morning,Premium,80,258.4249153,1.63,high_demand,high_supply,1
28,15,Rural,Gold,90,4.25,Night,Premium,177,511.929391,1.87,low_demand,low_supply,0
97,7,Urban,Silver,22,3.74,Afternoon,Premium,147,441.746701,13.86,high_demand,low_supply,1
48,12,Urban,Silver,51,4.63,Night,Premium,32,175.5180543,4.0,low_demand,low_supply,0
70,37,Urban,Silver,10,3.65,Night,Premium,168,658.5834277,1.89,low_demand,low_supply,0
78,12,Rural,Silver,99,4.3,Afternoon,Economy,95,299.2909931,6.5,low_demand,low_supply,0
25,7,Rural,Regular,24,3.85,Evening,Premium,144,494.8027992,3.57,low_demand,low_supply,0
24,9,Urban,Gold,6,4.05,Afternoon,Premium,69,223.519012,2.67,low_demand,low_supply,0
92,37,Rural,Silver,7,4.92,Morning,Premium,103,434.5710508,2.49,high_demand,low_supply,1
43,33,Rural,Gold,16,4.01,Morning,Premium,159,630.4284013,1.3,low_demand,low_supply,0
96,23,Urban,Gold,8,4.23,Morning,Premium,90,445.1254111,4.17,high_demand,low_supply,1
88,46,Rural,Gold,35,4.89,Afternoon,Premium,72,361.985521,1.91,high_demand,high_supply,1
83,43,Suburban,Regular,20,3.59,Morning,Economy,63,267.2821971,1.93,high_demand,high_supply,1
50,29,Urban,Regular,2,4.81,Morning,Economy,143,518.954763,1.72,low_demand,low_supply,0
97,75,Urban,Regular,15,4.94,Afternoon,Economy,163,575.4934492,1.29,high_demand,high_supply,1
84,24,Suburban,Regular,39,4.08,Afternoon,Economy,86,349.4432162,3.5,high_demand,low_supply,1
68,40,Suburban,Silver,58,4.64,Morning,Premium,68,279.2349662,1.7,low_demand,high_supply,0
77,30,Urban,Regular,99,4.7,Evening,Premium,179,689.7483155,2.57,low_demand,low_supply,0
82,67,Urban,Regular,13,4.43,Afternoon,Economy,33,88.76294359,1.22,high_demand,high_supply,1
21,8,Suburban,Gold,37,3.71,Evening,Premium,171,621.7963495,2.62,low_demand,low_supply,0
75,24,Rural,Regular,44,3.79,Night,Premium,72,307.6219494,3.12,low_demand,low_supply,0
61,9,Urban,Gold,74,3.98,Evening,Premium,32,172.4105313,6.78,low_demand,low_supply,0
90,13,Suburban,Regular,24,3.73,Afternoon,Economy,126,444.2453021,6.92,high_demand,low_supply,1
100,21,Suburban,Regular,20,3.52,Night,Premium,163,556.8967118,4.76,high_demand,low_supply,1
