Number_of_Riders,Number_of_Drivers,Number_of_Past_Rides,Average_Ratings,Expected_Ride_Duration,Adjusted_Cost,Y_True,Y_Predicted,Error
44,32,51,4.2,168,675.78,675.78,675.78,0.0
52,14,87,3.54,98,511.17,511.17,511.1700000000001,-5.684341886080802e-14
66,6,23,4.2,45,207.79,207.79,207.79000000000002,-2.842170943040401e-14
25,6,69,4.45,94,477.66,477.66,477.66000000000014,-1.1368683772161603e-13
29,17,76,3.61,166,808.96,808.96,808.96,0.0
48,23,0,4.46,174,567.08,567.08,567.0799999999998,2.2737367544323206e-13
71,30,45,4.16,53,272.62,272.62,272.62000000000006,-5.684341886080802e-14
95,56,86,3.79,147,805.77,805.77,805.77,0.0
32,6,13,4.75,53,208.66,208.66,208.66000000000005,-5.684341886080802e-14
44,28,31,4.92,132,483.43,483.43,483.42999999999995,5.684341886080802e-14
82,26,35,4.71,114,347.09,347.09,347.08999999999986,1.1368683772161603e-13
34,24,3,4.41,97,291.3,291.3,291.29999999999995,5.684341886080802e-14
26,11,10,4.22,69,377.81,377.81,377.8100000000001,-1.1368683772161603e-13
93,6,85,4.47,107,388.92,388.92,388.9199999999999,1.1368683772161603e-13
84,74,7,4.4,101,396.37,396.37,396.37,0.0
87,52,15,3.57,66,319.72,319.72,319.72,0.0
50,36,18,4.61,145,686.69,686.69,686.69,0.0
97,25,95,4.91,101,398.68,398.68,398.6799999999999,1.1368683772161603e-13
79,7,31,4.82,100,387.48,387.48,387.4799999999999,1.1368683772161603e-13
33,6,90,4.81,139,626.16,626.16,626.1599999999999,1.1368683772161603e-13
60,50,54,4.57,38,151.78,151.78,151.78000000000011,-1.1368683772161603e-13
73,63,25,4.19,129,534.02,534.02,534.02,0.0
53,12,79,3.6,154,796.13,796.13,796.13,0.0
56,37,96,3.83,130,495.1,495.1,495.09999999999997,5.684341886080802e-14
79,11,1,4.35,45,252.31,252.31,252.31000000000003,-2.842170943040401e-14
53,40,79,3.66,30,190.38,190.38,190.38000000000017,-1.7053025658242404e-13
30,13,8,4.1,94,329.62,329.62,329.62,0.0
98,54,34,4.57,113,554.89,554.89,554.89,0.0
75,32,20,3.69,96,528.53,528.53,528.53,0.0
79,29,0,4.86,127,487.3,487.3,487.2999999999999,1.1368683772161603e-13
27,6,74,4.75,157,878.76,878.76,878.76,0.0
92,69,88,4.69,18,54.14,54.14,54.140000000000136,-1.3500311979441904e-13
55,23,46,4.58,150,785.61,785.61,785.61,0.0
21,9,38,4.54,179,655.65,655.65,655.6499999999999,1.1368683772161603e-13
50,25,89,4.74,107,460.7,460.7,460.70000000000005,-5.684341886080802e-14
28,18,100,3.62,92,458.45,458.45,458.4500000000001,-1.1368683772161603e-13
34,22,34,3.64,176,740.84,740.84,740.8399999999999,1.1368683772161603e-13
57,38,31,3.97,64,353.83,353.83,353.8300000000001,-1.1368683772161603e-13
44,17,15,4.0,98,424.01,424.01,424.01,0.0
72,27,76,3.97,70,319.14,319.14,319.14,0.0
30,7,85,3.74,44,220.93,220.93,220.93000000000012,-1.1368683772161603e-13
35,22,82,3.79,174,704.16,704.16,704.1599999999999,1.1368683772161603e-13
51,6,64,4.57,34,171.07,171.07,171.0700000000001,-1.1368683772161603e-13
100,64,7,4.89,115,588.6,588.6,588.6,0.0
76,23,64,3.57,115,677.92,677.92,677.9200000000001,-1.1368683772161603e-13
29,6,24,4.37,50,236.96,236.96,236.96000000000012,-1.1368683772161603e-13
74,30,97,3.9,179,953.19,953.19,953.19,0.0
100,54,91,4.59,61,243.74,243.74,243.74000000000004,-2.842170943040401e-14
77,46,97,4.2,25,180.65,180.65,180.65000000000018,-1.7053025658242404e-13
89,16,27,4.86,161,749.17,749.17,749.1699999999998,1.1368683772161603e-13
37,10,27,4.26,143,614.94,614.94,614.9399999999999,1.1368683772161603e-13
42,31,0,3.99,76,395.75,395.75,395.7500000000001,-1.1368683772161603e-13
78,33,35,4.46,116,427.15,427.15,427.14999999999986,1.1368683772161603e-13
27,12,1,4.93,41,143.38,143.38,143.38000000000008,-8.526512829121202e-14
64,46,51,5.0,29,173.52,173.52,173.52000000000018,-1.7053025658242404e-13
40,6,37,4.75,148,849.43,849.43,849.43,0.0
77,30,99,4.7,179,827.7,827.7,827.6999999999999,1.1368683772161603e-13
49,30,57,4.83,154,757.03,757.03,757.03,0.0
53,27,78,3.63,58,334.91,334.91,334.9100000000002,-1.7053025658242404e-13
27,6,2,4.42,86,384.36,384.36,384.36000000000007,-5.684341886080802e-14
40,15,90,3.62,42,253.83,253.83,253.83000000000015,-1.4210854715202004e-13
97,18,53,4.25,26,151.77,151.77,151.77000000000007,-5.684341886080802e-14
40,23,6,3.96,178,634.33,634.33,634.3299999999998,2.2737367544323206e-13
57,37,59,3.92,159,702.97,702.97,702.97,0.0
78,57,5,4.82,127,663.17,663.17,663.17,0.0
43,26,59,4.91,175,878.14,878.14,878.1399999999999,1.1368683772161603e-13
25,7,13,3.99,81,343.36,343.36,343.36000000000007,-5.684341886080802e-14
26,7,58,4.91,161,552.91,552.91,552.9099999999999,1.1368683772161603e-13
68,16,91,4.49,77,296.11,296.11,296.11,0.0
21,7,6,4.96,180,1003.34,1003.34,1003.34,0.0
54,16,8,4.5,67,319.28,319.28,319.28,0.0
49,29,35,4.8,160,561.97,561.97,561.9699999999999,1.1368683772161603e-13
24,5,57,4.96,70,274.56,274.56,274.56000000000006,-5.684341886080802e-14
75,56,66,3.69,22,149.39,149.39,149.39000000000016,-1.7053025658242404e-13
58,14,10,3.77,95,309.62,309.62,309.6199999999999,1.1368683772161603e-13
77,15,47,4.47,66,274.37,274.37,274.37,0.0
83,50,7,3.66,100,451.56,451.56,451.56,0.0
26,13,14,4.19,174,799.71,799.71,799.7099999999999,1.1368683772161603e-13
81,35,45,4.11,174,850.66,850.66,850.6599999999999,1.1368683772161603e-13
95,25,26,3.62,81,249.14,249.14,249.1399999999999,8.526512829121202e-14
89,74,41,4.89,115,518.6,518.6,518.6,0.0
93,23,34,4.23,125,463.4,463.4,463.39999999999986,1.1368683772161603e-13
44,11,56,3.83,18,125.7,125.7,125.70000000000016,-1.5631940186722204e-13
25,7,24,3.85,144,593.76,593.76,593.7599999999999,1.1368683772161603e-13
87,77,12,3.56,11,97.78,97.78,97.78000000000019,-1.8474111129762605e-13
22,7,15,3.53,180,662.72,662.72,662.7199999999999,1.1368683772161603e-13
31,13,87,4.04,11,37.88,37.88,37.88000000000017,-1.7053025658242404e-13
43,14,1,3.53,134,778.69,778.69,778.69,0.0
88,46,35,4.89,72,434.38,434.38,434.38000000000005,-5.684341886080802e-14
34,12,3,4.83,62,358.03,358.03,358.0300000000001,-1.1368683772161603e-13
59,23,41,4.97,91,539.45,539.45,539.45,0.0
87,44,61,3.87,16,141.32,141.32,141.32000000000014,-1.4210854715202004e-13
88,38,29,3.73,167,645.48,645.48,645.4799999999999,1.1368683772161603e-13
90,56,61,4.38,91,492.41,492.41,492.4100000000001,-5.684341886080802e-14
70,7,13,4.09,117,385.2,385.2,385.1999999999998,1.7053025658242404e-13
76,40,77,4.17,28,115.24,115.24,115.24000000000011,-1.1368683772161603e-13
